Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
352,Farid Boulaya,ALG,MFFW,Metz,Ligue 1,29,1993,24,0.06,0.06,0,0.24,1.12,0.35,0.12
353,Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,31,0.06,0,0,0,0,0,0.06
354,Ismaëlben Boura,FRA,DF,Lens,Ligue 1,21,2000,5,0,0,0,0,0.91,0,0
355,Mehdi Bourabia,MAR,MF,Spezia,Serie A,30,1991,8,0,0,0,0.32,0.32,0.32,0
356,Benjamin Bourigeaud,FRA,FWMF,Rennes,Ligue 1,28,1994,38,0.06,0,0,0.31,1.52,0.59,0.34
357,Redwan Bourles,FRA,MFFW,Lorient,Ligue 1,19,2003,4,0,0,0,0,0,0,0
358,Edoardo Bove,ITA,MFFW,Roma,Serie A,20,2002,11,0,0,0,1.25,1.25,1.25,0
359,Jarrod Bowen,ENG,FW,West Ham,Premier League,25,1996,36,0.18,0,0,0.36,2.42,1,0.3
360,Dedryck Boyata,BEL,DF,Hertha BSC,Bundesliga,31,1990,23,0.05,0.05,0,0,0.47,0.09,0
361,Lucas Boyé,ARG,FW,Elche,La Liga,26,1996,24,0.16,0,0,0.37,2.58,0.79,0.16
362,Domagoj Bradari?,CRO,DFMF,Lille,Ligue 1,22,1999,15,0.43,0,0,0,0.22,0,0
363,Bilal Brahimi,FRA,FWDF,Angers,Ligue 1,22,2000,9,0,0,0,0,1.58,0.53,0.26
364,Bilal Brahimi,FRA,MFFW,Nice,Ligue 1,22,2000,11,0.24,0,0,0,0.95,0,0
365,Martin Braithwaite,DEN,FW,Barcelona,La Liga,30,1991,4,0,0,0,0.77,2.69,1.15,0.38
366,Julian Brandt,GER,MFFW,Dortmund,Bundesliga,26,1996,31,0.13,0,0,0.39,1.47,0.65,0.35
367,Jarrad Branthwaite,ENG,DF,Everton,Premier League,19,2002,6,0,0.23,0,0.23,0.7,0.47,0
368,Darko Braanac,SRB,MF,Osasuna,La Liga,30,1992,35,0.3,0,0,0.04,0.67,0.19,0.07
369,Lilian Brassier,FRA,DF,Brest,Ligue 1,22,1999,31,0.16,0,0,0.04,0.44,0.08,0
370,Claudio Bravo,CHI,GK,Betis,La Liga,39,1983,17,0.12,0,0,0,0,0,0
